x,hi,low
305.0,1.13861,1.13846
306.0,1.13859,1.13844
307.0,1.13872,1.13858
308.0,1.13863,1.13848
309.0,1.13873,1.13855
310.0,1.13866,1.13852
311.0,1.13865,1.13848
312.0,1.1387,1.13852
313.0,1.13868,1.13852
314.0,1.1387,1.13855
315.0,1.13872,1.13855
316.0,1.13874,1.13859
317.0,1.13868,1.13853
318.0,1.13876,1.1386
319.0,1.13875,1.13861
320.0,1.13873,1.13858
321.0,1.13869,1.13853
322.0,1.13864,1.13849
323.0,1.13865,1.1385
324.0,1.13858,1.13843
325.0,1.1386,1.13847
326.0,1.13854,1.13838
327.0,1.13851,1.13836
328.0,1.13858,1.13841
329.0,1.13854,1.13837
330.0,1.13851,1.13836
331.0,1.13857,1.1384
332.0,1.13859,1.13844
333.0,1.13862,1.13846
334.0,1.13856,1.1384
335.0,1.13857,1.13842
336.0,1.13861,1.13844
337.0,1.13857,1.13841
338.0,1.13856,1.1384
339.0,1.13851,1.13835
340.0,1.1385,1.13834
341.0,1.13842,1.13826
342.0,1.13852,1.13836
343.0,1.13858,1.13841
344.0,1.13855,1.13837
345.0,1.13856,1.13839
346.0,1.13853,1.13837
347.0,1.13859,1.13845
348.0,1.13858,1.13843
349.0,1.13858,1.13845
350.0,1.13865,1.1385
351.0,1.13836,1.1382
352.0,1.13835,1.13819
353.0,1.13825,1.13809
354.0,1.13828,1.13811
355.0,1.1383,1.13812
356.0,1.13849,1.13829
357.0,1.13845,1.13828
358.0,1.13855,1.13838
359.0,1.13852,1.13834
360.0,1.13857,1.13841
361.0,1.13856,1.1384
362.0,1.13855,1.13839
363.0,1.13855,1.13838
364.0,1.13851,1.13835
365.0,1.13851,1.13835
366.0,1.13848,1.13832
367.0,1.13857,1.13841
368.0,1.13853,1.13837
369.0,1.13847,1.1383
370.0,1.13852,1.13836
371.0,1.13856,1.1384
372.0,1.13863,1.13847
373.0,1.1382,1.13802
374.0,1.13822,1.13807
375.0,1.13825,1.13811
376.0,1.13829,1.13812
377.0,1.13829,1.13812
378.0,1.13838,1.13821
379.0,1.13847,1.13828
380.0,1.13834,1.13816
381.0,1.13839,1.1382
382.0,1.13838,1.13818
383.0,1.13832,1.13812
384.0,1.13843,1.13825
385.0,1.13837,1.13819
386.0,1.1384,1.13821
387.0,1.13851,1.13832
388.0,1.13842,1.13821
389.0,1.13833,1.13814
390.0,1.13835,1.13818
391.0,1.13816,1.13799
392.0,1.13821,1.13803
393.0,1.13817,1.13798
394.0,1.13819,1.138
395.0,1.13821,1.13804
396.0,1.13824,1.13807
397.0,1.1382,1.13803
398.0,1.13817,1.13799
399.0,1.13811,1.13795
400.0,1.13807,1.13791
401.0,1.1381,1.13796
402.0,1.13811,1.13795
403.0,1.13805,1.13789
404.0,1.13807,1.13792
405.0,1.13798,1.13781
406.0,1.13794,1.13777
407.0,1.138,1.13783
408.0,1.13798,1.13782
409.0,1.13801,1.13784
410.0,1.138,1.13783
411.0,1.13795,1.13779
412.0,1.13799,1.13784
413.0,1.13797,1.1378
414.0,1.13789,1.13774
415.0,1.13792,1.13777
416.0,1.13786,1.13769
417.0,1.13783,1.13768
418.0,1.13777,1.13762
419.0,1.13779,1.13763
420.0,1.13781,1.13766
421.0,1.13786,1.13771
422.0,1.13776,1.13761
423.0,1.13778,1.13765
424.0,1.13777,1.13762
425.0,1.13778,1.13763
426.0,1.13781,1.13765
427.0,1.13776,1.1376
428.0,1.13778,1.13762
429.0,1.13776,1.1376
430.0,1.13767,1.13751
431.0,1.13767,1.13749
432.0,1.13762,1.13748
433.0,1.1376,1.13744
434.0,1.13761,1.13747
435.0,1.13765,1.13751
436.0,1.1376,1.13746
437.0,1.13759,1.13745
438.0,1.13764,1.13749
439.0,1.13761,1.13747
440.0,1.13758,1.13745
441.0,1.13761,1.13747
442.0,1.13765,1.1375
443.0,1.13762,1.13748
444.0,1.13758,1.13743
445.0,1.13759,1.13744
446.0,1.13763,1.13748
447.0,1.13766,1.13751
448.0,1.13763,1.1375
449.0,1.13768,1.13754
450.0,1.13772,1.13757
451.0,1.13774,1.1376
452.0,1.1377,1.13754
453.0,1.13768,1.13751
454.0,1.1377,1.13754
455.0,1.13768,1.13752
456.0,1.13765,1.1375
457.0,1.13768,1.13755
458.0,1.13772,1.13758
459.0,1.13779,1.13766
460.0,1.13783,1.13769
461.0,1.13777,1.13762
462.0,1.13781,1.13765
463.0,1.13783,1.13769
464.0,1.13785,1.13772
465.0,1.1379,1.13774
466.0,1.13792,1.13779
467.0,1.13795,1.13781
468.0,1.13793,1.13778
469.0,1.13787,1.13773
470.0,1.13787,1.13773
471.0,1.1379,1.13776
472.0,1.13794,1.13779
473.0,1.13792,1.13777
474.0,1.1379,1.13775
475.0,1.13786,1.13772
476.0,1.13781,1.13768
477.0,1.13786,1.1377
478.0,1.13778,1.13762
479.0,1.13775,1.1376
480.0,1.13779,1.13763
481.0,1.13775,1.1376
482.0,1.13778,1.13763
483.0,1.13781,1.13766
484.0,1.13778,1.13763
485.0,1.13775,1.1376
486.0,1.13768,1.13752
487.0,1.13771,1.13755
488.0,1.13775,1.13758
489.0,1.13771,1.13755
490.0,1.13772,1.13754
491.0,1.13776,1.13757
492.0,1.13774,1.13754
493.0,1.13779,1.13759
494.0,1.13779,1.13761
